ID	log2Exp	log2FC
ASHGA5P001060	8.778	1.071
ASHGA5P001061	12.65	-0.47
ASHGA5P001064	10.883	1.698
ASHGA5P001065	7.528	1.678
ASHGA5P001067	9.267	-1.245
ASHGA5P001068	8.004	-1.676
ASHGA5P001069	4.632	0.621
ASHGA5P001070	5.157	-5.21
ASHGA5P001071	4.534	-2.343
ASHGA5P001072	6.691	1.047
ASHGA5P001073	8.963	-0.563
ASHGA5P001075	12.921	1.095
ASHGA5P001080	4.128	-1.155
ASHGA5P001081	6.746	1.007
ASHGA5P001082	12.646	1.12
ASHGA5P001084	6.383	-4.6
ASHGA5P001086	6.893	-6.943
ASHGA5P001087	8.732	-8.121
ASHGA5P001088	8.517	0.938
ASHGA5P001090	6.44	-1.912
ASHGA5P001091	9.629	-2.108
ASHGA5P001092	7.435	-3.579
ASHGA5P001095	6.699	-2.574
ASHGA5P001096	10.582	-0.889
ASHGA5P001097	4.442	-1.31
ASHGA5P001098	5.228	-4.431
ASHGA5P001099	9.626	-0.453
ASHGA5P001100	11.976	-0.633
ASHGA5P001101	3.307	-1.223
ASHGA5P001102	10.077	4.794
ASHGA5P001103	8.485	0.411
ASHGA5P001107	7.776	-0.347
ASHGA5P001108	9.796	-2.822
ASHGA5P001111	7.568	-1.097
ASHGA5P001112	6.919	-2.936
ASHGA5P001113	11.413	-3.024
ASHGA5P001114	5.095	-3.434
ASHGA5P001116	3.731	-2.357
ASHGA5P001119	6.173	-2.624
ASHGA5P001120	11.707	-1.079
ASHGA5P001121	4.463	1.482
ASHGA5P001123	11.425	0.378
ASHGA5P001124	6.908	-4.717
ASHGA5P001126	7.943	-1.646
ASHGA5P001128	7.924	1.407
ASHGA5P001129	7.632	-1.065
ASHGA5P001130	7.859	1.194
ASHGA5P001131	12.087	-3.206
ASHGA5P001133	6.685	-1.26
ASHGA5P001136	6.274	-1.33
ASHGA5P001137	9.863	1.107
ASHGA5P001138	12.404	0.971
ASHGA5P001139	9.124	1.784
ASHGA5P001140	8.069	1.576
ASHGA5P001143	5.742	0.797
ASHGA5P001144	7.456	1.366
ASHGA5P001145	3.172	-1.224
ASHGA5P001146	15.344	-0.345
ASHGA5P001148	7.229	1.122
ASHGA5P001149	13.518	-0.837
ASHGA5P001150	14.155	1.326
ASHGA5P001152	5.811	-4.87
ASHGA5P001153	7.546	-2.179
ASHGA5P001154	6.74	-0.601
ASHGA5P001155	4.727	-1.06
ASHGA5P001157	9.682	0.458
ASHGA5P001160	6.175	-3.86
ASHGA5P001162	8.718	-2.478
ASHGA5P001164	8.553	0.944
ASHGA5P001165	8.178	0.635
ASHGA5P001166	8.06	1.675
ASHGA5P001169	8.489	-1.029
ASHGA5P001170	6.246	1.347
ASHGA5P001171	10.292	-1.341
ASHGA5P001172	6	1.552
ASHGA5P001175	8.917	0.492
ASHGA5P001176	3.677	0.992
ASHGA5P001179	6.942	-2.004
ASHGA5P001182	7.388	0.377
ASHGA5P001184	7.471	1.083
ASHGA5P001185	4.815	-1.174
ASHGA5P001186	7.076	0.48
ASHGA5P001187	9.608	1.2
ASHGA5P001189	5.033	1.641
ASHGA5P001192	11.317	0.979
ASHGA5P001193	11.474	-2.746
ASHGA5P001194	3.2	-0.718
ASHGA5P001195	5.012	-3.07
ASHGA5P001197	7.424	-3.009
ASHGA5P001198	10.786	-1.28
ASHGA5P001200	7.802	-3.562
ASHGA5P001202	7.749	-0.334
ASHGA5P001204	3.251	-1.311
ASHGA5P001205	4.747	-4.388
ASHGA5P001207	13.424	0.88
ASHGA5P001209	7.286	-0.842
ASHGA5P001210	6.424	-3.949
ASHGA5P001211	3.451	-1.759
ASHGA5P001212	10.289	-1.678
ASHGA5P001213	4.835	-1.232
ASHGA5P001214	8.417	0.342
